douyu(ljk播放器),#genre#
【RM-点播】点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
【RM-轮播】轮播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/7298973
计划！五一节の快乐,http://epg.112114.xyz/douyu/7528160
【回首往事】仨房间画面同步显示,http://epg.112114.xyz/douyu/1569773
大星与海绵方块,http://epg.112114.xyz/douyu/3949681
美味！蟹黄堡,http://epg.112114.xyz/douyu/8762358
海绵与大星直播间,http://epg.112114.xyz/douyu/2250349
【猫和老鼠】汤姆和杰瑞童年回忆,http://epg.112114.xyz/douyu/7888428
【柯南】外表看似小孩，智慧却过于常人,http://epg.112114.xyz/douyu/6484910
江户川柯南，是一个蒸蛋。,http://epg.112114.xyz/douyu/5377297
万年如一柯播南，各位给点电费吧,http://epg.112114.xyz/douyu/1783144
【三笠】根本不存在解不开的迷！,http://epg.112114.xyz/douyu/7050342
【超级赛亚人】悟吉塔,http://epg.112114.xyz/douyu/7190773
草帽丶海贼团的直播间,http://epg.112114.xyz/douyu/997925
【Hunter】动漫热血老贼冒险,http://epg.112114.xyz/douyu/6610883
宝可梦加油。感谢大家。,http://epg.112114.xyz/douyu/9765742
浦饭幽游藏马飞影桑原,http://epg.112114.xyz/douyu/9938431
【童年往事】仨房间画面同步显示点播,http://epg.112114.xyz/douyu/7256376
【天使点播】动漫直播间,http://epg.112114.xyz/douyu/1487654
【动漫】超燃怀旧经典,http://epg.112114.xyz/douyu/1174353
动漫热血木叶忍者草帽路飞青春,http://epg.112114.xyz/douyu/206858
动漫二次元#补番推荐#,http://epg.112114.xyz/douyu/9429545
【追忆】国语超清动画电影,http://epg.112114.xyz/douyu/6449849
卡面来打,http://epg.112114.xyz/douyu/1218414
老爹:还有一件事,http://epg.112114.xyz/douyu/7134757
开心锤锤，开心快乐每一天！,http://epg.112114.xyz/douyu/9018297
舔狗波比的幸福生活,http://epg.112114.xyz/douyu/7620081
最好看的搞笑篮球动漫,http://epg.112114.xyz/douyu/9401305
【动漫】记录你的王者峡谷生活~,http://epg.112114.xyz/douyu/9360149
【小叮当】童年经典动画片,http://epg.112114.xyz/douyu/9445279
二次元放映室，有呐味儿了!,http://epg.112114.xyz/douyu/8912038
中二日记搞笑日常更新,http://epg.112114.xyz/douyu/9505575
动漫推荐官方直播间,http://epg.112114.xyz/douyu/5187099
【经典动漫】9455567,http://epg.112114.xyz/douyu/9455567
鲁过一世的直播间,http://epg.112114.xyz/douyu/9716515
星海璃幻V的直播间,http://epg.112114.xyz/douyu/9567313
铁头与橘子（每周更新一起看霸总）,http://epg.112114.xyz/douyu/9450942
笑出腹肌动漫0,http://epg.112114.xyz/douyu/8380708
【神剧】经典神剧,http://epg.112114.xyz/douyu/3700024
【贝爷MAX厅】科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
【贝爷影厅】经典科幻动作灾难巨兽,http://epg.112114.xyz/douyu/252802
【牛叔】N分钟带你看完大片,http://epg.112114.xyz/douyu/2758565
【科幻Fans】精彩科幻影视，解说连连看,http://epg.112114.xyz/douyu/3508304
最新奇幻电影解说-宇宙无敌韩三金,http://epg.112114.xyz/douyu/3194372
Bilibili(ljk播放器,#genre#
24小时连播蓝胖子,http://zzy789.xyz/bili.phpid=482946
【哆啦A梦】旧版全集,http://zzy789.xyz/bili.phpid=1717236
哆啦A梦新番剧318-325,http://zzy789.xyz/bili.phpid=7204293
24小时动漫直播间,http://zzy789.xyz/bili.phpid=279430
樱桃小丸子国语台配,http://zzy789.xyz/bili.phpid=11765640
樱桃小丸子蜡笔小新蓝光特别版,http://zzy789.xyz/bili.phpid=21614203
樱桃小丸子,http://zzy789.xyz/bili.phpid=11392177
樱桃小丸子台配国语24小时轮播,http://zzy789.xyz/bili.phpid=23242774
【海绵宝宝】文明观看素质弹幕,http://zzy789.xyz/bili.phpid=61834
【海绵宝宝】1-13季24H循环,http://zzy789.xyz/bili.phpid=14495324
海绵宝宝央配,http://zzy789.xyz/bili.phpid=9819411
【蜡笔小新】国语高清，24小时直播哦！,http://zzy789.xyz/bili.phpid=10375360
【蜡笔小新】绝版画质,http://zzy789.xyz/bili.phpid=21570935
蜡笔小新24h睡觉背景音,http://zzy789.xyz/bili.phpid=11579951
蜡笔小新,http://zzy789.xyz/bili.phpid=1895574
涂糊涂的蜡笔小新,http://zzy789.xyz/bili.phpid=49132
野原新之助蜡笔小新新番24H随机播放,http://zzy789.xyz/bili.phpid=21507503
蜡笔小新全集高清在线24h播放,http://zzy789.xyz/bili.phpid=23190944
【高清】522蜡笔小新陪你一起过！,http://zzy789.xyz/bili.phpid=24882087
【国语超清】犬夜叉-乱马-童年向轮播,http://zzy789.xyz/bili.phpid=11224983
中华小当家/中华一番东方零食总部,http://zzy789.xyz/bili.phpid=655291
飞出个未来Futurama蓝光下饭神剧,http://zzy789.xyz/bili.phpid=1954990
动画狂欢曲-芭比,http://zzy789.xyz/bili.phpid=662181
童年回忆丨守护甜心丨全三季轮播,http://zzy789.xyz/bili.phpid=14434
经典番剧/动漫/剧场版24时轮播,http://zzy789.xyz/bili.phpid=21751462
童年回忆X百变小樱7X24最全资源轮播,http://zzy789.xyz/bili.phpid=34340
【爷青回】中华小子25x8不间断直播,http://zzy789.xyz/bili.phpid=22194340
经典动漫（推理、童年、灵异）,http://zzy789.xyz/bili.phpid=4089143
LexBurner,http://zzy789.xyz/bili.phpid=11365
-猫大人-,http://zzy789.xyz/bili.phpid=723
少儿频道,#genre#
南京少儿[1280*720],http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
浙江少儿[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
福州少儿[1920*1080],http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
台湾,#genre#
原住民频道[1280*720],http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
台湾番薯台[1920*1080],http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
大爱+1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8zgangd
大爱+2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8zgangd
唯心+電視,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8zgangd
民視,rtmp://59.124.75.138/sat/tv051zgangd
台視,rtmp://59.124.75.138/sat/tv071zgangd
華視,rtmp://59.124.75.138/sat/tv111zgangd
東森財經新聞,rtmp://59.124.75.138/sat/tv571zgangd
ELEVEN2休育,rtmp://59.124.75.138/sat/tv741zgangd
緯來育力,rtmp://59.124.75.138/sat/tv701zgangd
ELEVEN1體育,rtmp://59.124.75.138/sat/tv731zgangd
MoMo綜合台,rtmp://59.124.75.138/sat/tv761zgangd
港澳台,#genre#
凤凰中文,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰资讯,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
澳视澳门,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视澳门,http://61.244.22.4/ch1/ch1.live/playlist.m3u8
澳视葡文,http://103.233.191.132:1935/ch2/ch2.live/playlist.m3u8
